id,date,trial_time,value,x,y,word_one,word_two,trial_number,chunk_number,prolific_id,study_id,session_id
19649,2025-06-05T21:43:58.523Z,3684,55,157,214,Less Good for Safe Signal,More Good for Safe Signal,1,24,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19650,2025-06-05T21:43:59.617Z,1094,55,157,214,Less Good for Safe Signal,More Good for Safe Signal,2,2,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19651,2025-06-05T21:44:00.582Z,965,56,157,214,Less Good for Safe Signal,More Good for Safe Signal,3,79,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19652,2025-06-05T21:44:01.441Z,859,53,157,214,Less Good for Safe Signal,More Good for Safe Signal,4,66,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19653,2025-06-05T21:44:02.721Z,1280,48,157,214,Less Good for Safe Signal,More Good for Safe Signal,5,12,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19654,2025-06-05T21:44:03.631Z,910,46,157,214,Less Good for Safe Signal,More Good for Safe Signal,6,37,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19655,2025-06-05T21:44:04.367Z,736,41,157,214,Less Good for Safe Signal,More Good for Safe Signal,7,45,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19656,2025-06-05T21:44:05.098Z,731,39,157,214,Less Good for Safe Signal,More Good for Safe Signal,8,32,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19657,2025-06-05T21:44:05.914Z,816,39,157,214,Less Good for Safe Signal,More Good for Safe Signal,9,34,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19658,2025-06-05T21:44:06.525Z,611,56,157,214,Less Good for Safe Signal,More Good for Safe Signal,10,29,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19659,2025-06-05T21:44:07.508Z,983,42,157,214,Less Good for Safe Signal,More Good for Safe Signal,11,21,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19660,2025-06-05T21:44:08.888Z,1380,34,157,214,Less Good for Safe Signal,More Good for Safe Signal,12,72,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19661,2025-06-05T21:39:42.451Z,4449,66,249,146,Less Good for Background,More Good for Background,1,70,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19662,2025-06-05T21:44:10.170Z,1282,54,157,214,Less Good for Safe Signal,More Good for Safe Signal,13,40,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19663,2025-06-05T21:39:44.850Z,2399,40,249,146,Less Good for Background,More Good for Background,2,65,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19664,2025-06-05T21:44:11.498Z,1328,45,157,214,Less Good for Safe Signal,More Good for Safe Signal,14,83,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19665,2025-06-05T21:44:12.372Z,874,42,157,214,Less Good for Safe Signal,More Good for Safe Signal,15,33,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19666,2025-06-05T21:44:13.096Z,724,38,157,214,Less Good for Safe Signal,More Good for Safe Signal,16,80,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19667,2025-06-05T21:39:47.315Z,2465,68,249,146,Less Good for Background,More Good for Background,3,14,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19668,2025-06-05T21:44:13.817Z,721,57,157,214,Less Good for Safe Signal,More Good for Safe Signal,17,15,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19669,2025-06-05T21:44:14.588Z,771,40,157,214,Less Good for Safe Signal,More Good for Safe Signal,18,16,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19670,2025-06-05T21:44:15.654Z,1066,22,157,214,Less Good for Safe Signal,More Good for Safe Signal,19,65,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19671,2025-06-05T21:44:16.672Z,1018,40,157,214,Less Good for Safe Signal,More Good for Safe Signal,20,67,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19672,2025-06-05T21:44:18.443Z,1771,26,157,214,Less Good for Safe Signal,More Good for Safe Signal,21,20,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19673,2025-06-05T21:39:52.554Z,5239,75,249,146,Less Good for Background,More Good for Background,4,82,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19674,2025-06-05T21:44:19.873Z,1430,53,157,214,Less Good for Safe Signal,More Good for Safe Signal,22,59,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19675,2025-06-05T21:44:20.751Z,878,45,157,214,Less Good for Safe Signal,More Good for Safe Signal,23,61,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19676,2025-06-05T21:39:54.863Z,2309,62,249,146,Less Good for Background,More Good for Background,5,79,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19677,2025-06-05T21:44:22.540Z,1789,43,157,214,Less Good for Safe Signal,More Good for Safe Signal,24,6,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19678,2025-06-05T21:39:57.118Z,2255,72,249,146,Less Good for Background,More Good for Background,6,32,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19679,2025-06-05T21:39:59.274Z,2156,53,249,146,Less Good for Background,More Good for Background,7,72,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19680,2025-06-05T21:40:01.418Z,2144,73,249,146,Less Good for Background,More Good for Background,8,83,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19681,2025-06-05T21:44:29.496Z,6956,60,157,214,Less Good for Safe Signal,More Good for Safe Signal,25,13,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19682,2025-06-05T21:40:03.360Z,1942,36,249,146,Less Good for Background,More Good for Background,9,54,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19683,2025-06-05T21:44:30.281Z,785,44,157,214,Less Good for Safe Signal,More Good for Safe Signal,26,48,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19684,2025-06-05T21:44:31.022Z,741,37,157,214,Less Good for Safe Signal,More Good for Safe Signal,27,4,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19685,2025-06-05T21:40:05.166Z,1806,54,249,146,Less Good for Background,More Good for Background,10,16,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19686,2025-06-05T21:44:31.844Z,822,37,157,214,Less Good for Safe Signal,More Good for Safe Signal,28,1,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19687,2025-06-05T21:44:32.647Z,803,44,157,214,Less Good for Safe Signal,More Good for Safe Signal,29,52,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19688,2025-06-05T21:40:06.970Z,1804,70,249,146,Less Good for Background,More Good for Background,11,51,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19689,2025-06-05T21:44:33.530Z,883,30,157,214,Less Good for Safe Signal,More Good for Safe Signal,30,42,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19690,2025-06-05T21:44:35.086Z,1556,53,157,214,Less Good for Safe Signal,More Good for Safe Signal,31,27,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19691,2025-06-05T21:44:35.907Z,821,47,157,214,Less Good for Safe Signal,More Good for Safe Signal,32,78,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19692,2025-06-05T21:44:36.896Z,989,18,157,214,Less Good for Safe Signal,More Good for Safe Signal,33,50,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19693,2025-06-05T21:40:10.059Z,3089,12,249,146,Less Good for Background,More Good for Background,12,36,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19694,2025-06-05T21:44:38.726Z,1830,32,157,214,Less Good for Safe Signal,More Good for Safe Signal,34,49,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19695,2025-06-05T21:40:12.690Z,2631,77,249,146,Less Good for Background,More Good for Background,13,73,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19696,2025-06-05T21:44:39.469Z,743,49,157,214,Less Good for Safe Signal,More Good for Safe Signal,35,57,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19697,2025-06-05T21:44:40.270Z,801,32,157,214,Less Good for Safe Signal,More Good for Safe Signal,36,8,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19698,2025-06-05T21:44:41.069Z,799,52,157,214,Less Good for Safe Signal,More Good for Safe Signal,37,64,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19699,2025-06-05T21:40:14.988Z,2298,79,249,146,Less Good for Background,More Good for Background,14,62,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19700,2025-06-05T21:44:41.829Z,760,37,157,214,Less Good for Safe Signal,More Good for Safe Signal,38,23,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19701,2025-06-05T21:44:42.968Z,1139,52,157,214,Less Good for Safe Signal,More Good for Safe Signal,39,39,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19702,2025-06-05T21:44:43.778Z,810,31,157,214,Less Good for Safe Signal,More Good for Safe Signal,40,28,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19703,2025-06-05T21:44:44.479Z,701,42,157,214,Less Good for Safe Signal,More Good for Safe Signal,41,14,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19704,2025-06-05T21:40:18.051Z,3063,51,249,146,Less Good for Background,More Good for Background,15,64,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19705,2025-06-05T21:44:45.218Z,739,49,157,214,Less Good for Safe Signal,More Good for Safe Signal,42,55,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19706,2025-06-05T21:44:46.048Z,830,32,157,214,Less Good for Safe Signal,More Good for Safe Signal,43,36,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19707,2025-06-05T21:44:46.895Z,847,53,157,214,Less Good for Safe Signal,More Good for Safe Signal,44,41,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19708,2025-06-05T21:40:21.108Z,3057,15,249,146,Less Good for Background,More Good for Background,16,11,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
19709,2025-06-05T21:44:47.588Z,693,38,157,214,Less Good for Safe Signal,More Good for Safe Signal,45,26,6837c555729862666f7321d8,6841eb3a0ba25ff6e5027164,68420deda05632654fcf5d2a
19710,2025-06-05T21:40:23.330Z,2222,77,249,146,Less Good for Background,More Good for Background,17,71,682ee8a59920c227dc1a653a,6841eb3a0ba25ff6e5027164,68420dda5bbc8b9c4367c5c4
