id,date,trial_time,value,x,y,word_one,word_two,trial_number,chunk_number,prolific_id,study_id,session_id,averaged_value
10841,2025-05-24T06:27:05.959Z,3300,3,95,206,Less Pretty Stone,More Pretty Stone,1,85,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.03125
10842,2025-05-24T06:27:07.512Z,1553,91,95,206,Less Pretty Stone,More Pretty Stone,2,9,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.9479166666666666
10843,2025-05-24T06:27:10.127Z,2615,5,95,206,Less Pretty Stone,More Pretty Stone,3,32,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.052083333333333336
10844,2025-05-24T06:27:14.549Z,3172,2,15,120,Less Pretty Stone,More Pretty Stone,1,8,67837959a1ccc1627479fb36,6831645a117adaf53d93ee44,6831663011dcbd5d8cf3692a,0.01020408163265306
10845,2025-05-24T06:27:14.005Z,3878,60,95,206,Less Pretty Stone,More Pretty Stone,4,89,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.625
10846,2025-05-24T06:27:16.798Z,2249,3,15,120,Less Pretty Stone,More Pretty Stone,2,10,67837959a1ccc1627479fb36,6831645a117adaf53d93ee44,6831663011dcbd5d8cf3692a,0.02040816326530612
10847,2025-05-24T06:27:16.951Z,3239,65,172,36,Less Pretty Stone,More Pretty Stone,1,53,678f0bb28ec3307e4f1afb78,6831645a117adaf53d93ee44,6831662dca8ca569d921eaac,0.65
10848,2025-05-24T06:27:16.016Z,2011,88,95,206,Less Pretty Stone,More Pretty Stone,5,45,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.9166666666666666
10849,2025-05-24T06:27:18.498Z,1700,4,15,120,Less Pretty Stone,More Pretty Stone,3,53,67837959a1ccc1627479fb36,6831645a117adaf53d93ee44,6831663011dcbd5d8cf3692a,0.030612244897959183
10850,2025-05-24T06:27:19.621Z,2670,71,172,36,Less Pretty Stone,More Pretty Stone,2,23,678f0bb28ec3307e4f1afb78,6831645a117adaf53d93ee44,6831662dca8ca569d921eaac,0.71
10851,2025-05-24T06:27:18.420Z,2404,22,95,206,Less Pretty Stone,More Pretty Stone,6,65,5c6b3163a26a850001444ddf,6831645a117adaf53d93ee44,6831663b53fc1d0533bf25c3,0.22916666666666666
10852,2025-05-24T06:27:21.313Z,2815,85,15,120,Less Pretty Stone,More Pretty Stone,4,87,67837959a1ccc1627479fb36,6831645a117adaf53d93ee44,6831663011dcbd5d8cf3692a,0.8571428571428571
