"id","startTime","endTime","selected","foodType","firstCooked","secondCooked","prolificId","studyId","sessionId"
"5","0","3868","Cooked","Vegetables","Cooked","Raw","66073d09f66221547cbf2599","68548d09118a9d62c6015329","68548d7ef5248cb4d24bf7b0"
"6","0","2645","Cooked","Vegetables","Cooked","Raw","5fe7373a4b3bdc5378e78245","68548d09118a9d62c6015329","68548d828b5fb9bd463e1e21"
"7","0","2660","Cooked","Meat","Cooked","Raw","6658b838fa019e8f175c7bf4","68548d09118a9d62c6015329","68548d80b5d11c0ceab9399b"
"8","0","2799","Cooked","Meat","Cooked","Raw","631610af8e747093cd90e00d","68548d09118a9d62c6015329","68548d7f328f9705767ac1d2"
"9","0","2050","Cooked","Meat","Raw","Cooked","5e1cc05963251a04c9fbe321","68548d09118a9d62c6015329","68548d82876e387209114037"
"10","0","3844","Cooked","Meat","Cooked","Raw","5dfb7cbd01423f8a774d893b","68548d09118a9d62c6015329","68548d7f7469f557c3cc8047"
"11","0","2385","Cooked","Vegetables","Raw","Cooked","65cb8561e8752b75256b4b1c","68548d09118a9d62c6015329","68548d81defdd5eefa485ed5"
"12","0","3066","Cooked","Meat","Cooked","Raw","67914a71e31261f2ae882759","68548d09118a9d62c6015329","68548d7fbe01c3cfa4aacc86"
"13","0","3447","Raw","Vegetables","Cooked","Raw","67252ccdf91cf97c0989172d","68548d09118a9d62c6015329","68548d832e667d321dae56f1"
"14","0","2188","Cooked","Meat","Cooked","Raw","5da8c5381d32d70017b1f490","68548d09118a9d62c6015329","68548d8540d14b52472fa88d"
"15","0","2587","Cooked","Vegetables","Raw","Cooked","6658b2f59b5f593e1aa91d9a","68548d09118a9d62c6015329","68548d879e552e33eac84170"
"16","0","2708","Cooked","Meat","Raw","Cooked","66a2812744e8026f80ef0879","68548d09118a9d62c6015329","68548d84923d9e3ffd5a99e6"
"17","0","4586","Cooked","Vegetables","Raw","Cooked","681ce97004845967e21ac406","68548d09118a9d62c6015329","68548d76440e6c0a7576404c"
"18","0","2893","Cooked","Vegetables","Raw","Cooked","6779bf95a3d54a5d852e25c4","68548d09118a9d62c6015329","68548d82fe3513e0d331adf0"
"19","0","2217","Cooked","Vegetables","Cooked","Raw","5c6b3163a26a850001444ddf","68548d09118a9d62c6015329","68548d8938870c03e4715af4"
"20","0","3150","Cooked","Vegetables","Cooked","Raw","67719f52af5175c7f6b1c990","68548d09118a9d62c6015329","68548d854e29e9a0e95ec983"
"21","0","7320","Raw","Vegetables","Raw","Cooked","5ef52a87f04c781600ae4114","68548d09118a9d62c6015329","68548d7df195207b2851d9c0"
"22","0","3728","Cooked","Meat","Cooked","Raw","5c5757d53d8546000132180e","68548d09118a9d62c6015329","68548d8600d6648019b9cc34"
"23","0","7765","Raw","Vegetables","Cooked","Raw","59b7cbab110131000146620b","68548d09118a9d62c6015329","68548d83d4f23a31945c5f77"
"24","0","2934","Cooked","Vegetables","Cooked","Raw","66789a1e138a59bb4ad16fa5","68548d09118a9d62c6015329","68548d812018db11daf2327c"
"25","0","4900","Cooked","Vegetables","Cooked","Raw","614e82d5717d691f24efffc0","68548d09118a9d62c6015329","68548d80e284da1b64cc2a16"
"26","0","9712","Cooked","Vegetables","Raw","Cooked","67168dec9c8bbf36f6db6cdd","68548d09118a9d62c6015329","68548d7bbccf068d1bd77973"
"27","0","2508","Cooked","Meat","Raw","Cooked","6692dd53ec527d60a87c1c82","68548d09118a9d62c6015329","68548d8b7b7d686d04e6a136"
"28","0","5505","Cooked","Vegetables","Raw","Cooked","598b719b9eb0b10001536b63","68548d09118a9d62c6015329","68548d888293fe8d37e46e3c"
"29","0","2180","Cooked","Meat","Raw","Cooked","59107216127b0b00011fabea","68548d09118a9d62c6015329","68548d8c28b3ba7cd156fd03"
"30","0","3029","Cooked","Meat","Cooked","Raw","65ce90640fc477060a80dbc7","68548d09118a9d62c6015329","68548d8c086ea07c515bf362"
"31","0","3083","Raw","Vegetables","Cooked","Raw","66701c7025b226088aa490d9","68548d09118a9d62c6015329","68548d8b1993725344343bc9"
"32","0","2529","Cooked","Meat","Cooked","Raw","6782e521cbe48b635ea6bf98","68548d09118a9d62c6015329","68548d8ae5a0ad8a5ff9f319"
"33","0","4490","Raw","Vegetables","Raw","Cooked","622a2b1c561ce3cd95519fd2","68548d09118a9d62c6015329","68548d8f6a6e68511128526a"
"34","0","10556","Cooked","Meat","Raw","Cooked","6316212c1109a3b1bac89fe6","68548d09118a9d62c6015329","68548d851ac50f5b6f96096a"
"35","0","2329","Cooked","Vegetables","Cooked","Raw","5b3e2334cdb4ce0001d93c51","68548d09118a9d62c6015329","68548d8ef663e87f8f86b8e5"
"36","0","2746","Cooked","Meat","Raw","Cooked","671d58f76b149a630fb02af4","68548d09118a9d62c6015329","68548d974a5b46bb1156f39e"
"37","0","5320","Cooked","Vegetables","Cooked","Raw","68265099393c1713356c49c6","68548d09118a9d62c6015329","68548d840cc0216dadc9d705"
"38","0","5057","Cooked","Vegetables","Raw","Cooked","67a577bd526d53b904219c1d","68548d09118a9d62c6015329","68548d8da1ce4de7e9f35445"
"39","0","3832","Cooked","Vegetables","Raw","Cooked","6834b8ced322f5058f47288c","68548d09118a9d62c6015329","68548d87fbc101df3d98a120"
"40","0","13480","Raw","Vegetables","Cooked","Raw","66227ff3314e581aa8c92a38","68548d09118a9d62c6015329","68548d84a468b83763fad9aa"
"41","0","4309","Cooked","Meat","Cooked","Raw","68278d6e16509e4ca9743f65","68548d09118a9d62c6015329","68548d8d4a5b46bb1156f39b"
"42","0","6661","Cooked","Vegetables","Raw","Cooked","67c60b46b619cad09b65ab51","68548d09118a9d62c6015329","68548d8511585212b439f007"
"43","0","8894","Cooked","Meat","Raw","Cooked","6844e4c02f062710096b548d","68548d09118a9d62c6015329","68548d7e5fa2a44554143d95"
"44","0","5024","Cooked","Meat","Raw","Cooked","684548183327122e537bd4d0","68548d09118a9d62c6015329","68548d827f0cee93ed435b35"
"45","0","3727","Cooked","Meat","Cooked","Raw","67ddc16bf07d3aedfbdf9f3b","68548d09118a9d62c6015329","68548d96964a48e41de0c17e"
"46","0","5068","Cooked","Meat","Raw","Cooked","6842816f1b4a2ceb5c24fea4","68548d09118a9d62c6015329","68548d8864f2d857f10462ea"
