"question","avg"
"Animals are afraid of a big fire",90.3030303030303030
"Animals can make a fire",7.0303030303030303
"Animals feel that a small or medium fire is pretty",23.1717171717171717
"Animals like the warmth of a medium fire",62.4848484848484848
"Animals like to cook on a fire",3.7575757575757576
"Animals like to look at fire",31.2020202020202020
"Humans are afraid of a big fire",83.2525252525252525
"Humans can make a fire",94.9292929292929293
"Humans feel that a small or medium fire is pretty",77.5757575757575758
"Humans like the warmth of a medium fire",87.7575757575757576
"Humans like to cook on a fire",80.9494949494949495
"Humans like to look at fire",77.1010101010101010
